respondent_id,Q1_age_group,Q2_city_tier,Q3_residence_type,Q4_num_dogs,Q5_dog_type,Q6_ownership_duration,Q7_monthly_spend_inr,Q7_spend_range,Q8_top_spend_category,Q9_online_purchase_freq,Q10_challenges,Q11_vet_discovery,Q12_lost_dog_experience,Q13_pet_space_satisfaction,Q14_preferred_features,Q15_app_usage,Q16_purchase_platform,Q17_location_sharing,Q18_subscription_pref,Q19_adoption_interest,Q20_community_importance,Q21_social_media_dogs,Q22_reviews_importance,Q23_vax_tracking,Q24_emergency_vet_freq,Q25_app_adoption
R1410,45-59,Metro,Gated apartment,1 dog,Purebred|Adopted from shelter,5+ years,6502.0,5000-10000,Food & treats,Occasionally,No pet-friendly spaces|Hard to find reliable vet,Google Maps,"Yes, very difficult",,Health/vaccination tracker|Nearby vet directory,Sometimes,Amazon/Flipkart,Yes when using app,Freemium,Maybe someday,Neutral,,Very Important,Spreadsheet/notes app,Once a year or less,Yes
R1411,18-24,Metro,,1 dog,Rescued stray,5+ years,5243.0,5000-10000,Accessories,Rarely,Losing track of vaccinations,Social media,No,Very Dissatisfied,Health/vaccination tracker|Online marketplace|Boarding/walking listings,Often,Local pet store,No,Freemium,Maybe someday,Somewhat Important,Active,Very Important,Spreadsheet/notes app,,Yes
R1412,18-24,Metro,,1 dog,Purebred,5+ years,1331.0,1000-2500,Food & treats,Occasionally,Hard to find reliable vet|No local dog owner community|Hard to find boarding/walker,,"Yes, managed eventually",Dissatisfied,Nearby vet directory|Dog trainer directory,Sometimes,Amazon/Flipkart,No,Free with ads,Yes considering,Not at all,Active,Very Important,Rely on memory,2-3 times a year,Maybe
R1413,25-34,Metro,Non-gated apartment,1 dog,Indian Pariah|Mixed breed,1-3 years,,nan,Grooming,Occasionally,No pet-friendly spaces|Lack of grooming services,Word of mouth,No,Very Satisfied,Pet-friendly places|Community/playdates,Sometimes,Amazon/Flipkart,Yes when using app,Would not pay,Yes considering,Somewhat Important,Active,Very Important,Rely on memory,2-3 times a year,Yes
R1414,18-24,Metro,Independent house,2 dogs,Indian Pariah|Purebred,5+ years,-6945.0,5000-10000,Food & treats,Frequently,Travel challenges with dog,Social media,No,Dissatisfied,Community/playdates,Sometimes,Local pet store,Yes when using app,Annual sub,Maybe someday,Somewhat Important,Active,Extremely Important,Don't track,More than 3 times,Maybe
R1415,25-34,Tier-3,Independent house,1 dog,Adopted from shelter|Mixed breed,5+ years,,nan,Vet & medicines,Never,Difficulty adopting/fostering|Lack of grooming services|Hard to find reliable vet,Word of mouth,No,Satisfied,Health/vaccination tracker,Rarely,Brand website,No,Free with ads,No,Not at all,Passive,Very Important,Don't track,2-3 times a year,Yes
R1416,60+,Tier-2,Gated apartment,1 dog,Purebred|Rescued stray,5+ years,2730.0,2500-5000,Food & treats,Frequently,Hard to find reliable vet|Lack of grooming services|No pet-friendly spaces,Word of mouth,No,Satisfied,Community/playdates|Lost-and-found alerts|Health/vaccination tracker,Often,Local pet store,Yes always,Free with ads,Maybe someday,Somewhat Important,Not interested,Not Important,Dedicated pet app,Never,Maybe
R1417,18-24,Metro,Gated apartment,1 dog,Mixed breed,1-3 years,3564.0,2500-5000,,Very frequently,Lack of grooming services|Losing track of vaccinations|Hard to find reliable vet,Word of mouth,"Yes, managed eventually",Neutral,Lost-and-found alerts,Sometimes,Instagram/social,Yes when using app,Free with ads,Yes considering,Neutral,Passive,Very Important,Physical diary,Once a year or less,Yes
R1418,18-24,Tier-2,,1 dog,Adopted from shelter,5+ years,3496.0,2500-5000,Food & treats,Frequently,Lack of grooming services|Hard to find boarding/walker,Google Maps,"Yes, managed eventually",Neutral,Event calendar|Pet-friendly places|Boarding/walking listings,Sometimes,Brand website,Unsure,Free with ads,Yes considering,Somewhat Important,Not yet but would,Very Important,Physical diary,Once a year or less,No
R1419,25-34,Metro,Gated apartment,None,Mixed breed,Planning to adopt,,nan,nan,Frequently,Hard to find reliable vet|Lack of grooming services|Losing track of vaccinations,Social media,No,Dissatisfied,Adoption/fostering network|Dog-friendly travel guide,Rarely,Local pet store,Yes when using app,Freemium,Maybe someday,Very Important,Active,Very Important,Physical diary,Never,Yes
R1420,60+,Metro,Gated apartment,2 dogs,Mixed breed|Purebred,5+ years,5172.0,5000-10000,Accessories,Rarely,Hard to find reliable vet|Lack of grooming services|Difficulty adopting/fostering,Social media,"Yes, managed eventually",Satisfied,Boarding/walking listings|Pet-friendly places,Rarely,Local pet store,Yes always,Freemium,Yes actively,Not at all,Not interested,Very Important,Spreadsheet/notes app,Once a year or less,Yes
R1421,25-34,Tier-3,Independent house,1 dog,Adopted from shelter,3-5 years,3945.0,2500-5000,Vet & medicines,Occasionally,Hard to find boarding/walker|Losing track of vaccinations|Genuine food/accessories hard to find|,Pet app,"Yes, very difficult",Neutral,Grooming listings,Rarely,Amazon/Flipkart,Yes when using app,Free with ads,Yes actively,Very Important,Active,Extremely Important,Dedicated pet app,Once a year or less,No
R1422,25-34,Tier-2,Gated apartment,2 dogs,Purebred,1-3 years,4745.0,2500-5000,Food & treats,Frequently,No local dog owner community|Hard to find reliable vet,Word of mouth,No,Neutral,Lost-and-found alerts|Nearby vet directory,Sometimes,Local pet store,No,Would not pay,Yes actively,Not at all,Passive,Very Important,Rely on memory,Once a year or less,Maybe
R1423,18-24,Tier-3,Other,1 dog,Rescued stray|Adopted from shelter,1-3 years,2287.0,1000-2500,Vet & medicines,Occasionally,Travel challenges with dog|Hard to find reliable vet,No reliable way,"Yes, managed eventually",Neutral,Nearby vet directory|Adoption/fostering network,,Don't buy online,Yes always,Annual sub,Yes considering,Somewhat Important,Not yet but would,Very Important,Physical diary,2-3 times a year,Maybe
R1424,18-24,Metro,Gated apartment,1 dog,Adopted from shelter,3-5 years,,nan,Accessories,Occasionally,Lack of grooming services|Genuine food/accessories hard to find,Google Maps,No,Satisfied,Dog-friendly travel guide|Lost-and-found alerts|Health/vaccination tracker,Often,Local pet store,No,Monthly sub,Yes considering,Very Important,Passive,Not Important,Spreadsheet/notes app,Once a year or less,Yes
R1425,60+,Tier-3,Gated apartment,1 dog,Indian Pariah,3-5 years,3821.0,2500-5000,Vet & medicines,Very frequently,No local dog owner community|Travel challenges with dog|Hard to find boarding/walker,,"Yes, managed eventually",Neutral,Pet-friendly places|Dog-friendly travel guide,Sometimes,Amazon/Flipkart,Yes when using app,Free with ads,Yes actively,Very Important,Passive,Extremely Important,Dedicated pet app,2-3 times a year,Maybe
R1426,60+,Tier-2,Non-gated apartment,1 dog,Adopted from shelter|Rescued stray,3-5 years,3042.0,2500-5000,Food & treats,Occasionally,Hard to find boarding/walker|Lack of grooming services,No reliable way,Not applicable,Dissatisfied,Community/playdates|Health/vaccination tracker,Sometimes,Instagram/social,Yes when using app,One-time purchase,Yes considering,Neutral,Not yet but would,Very Important,Don't track,2-3 times a year,Maybe
R1427,Under 18,Tier-2,Other,None,nan,Planning to adopt,,nan,nan,Very frequently,Hard to find reliable vet|Hard to find boarding/walker,Google Maps,"Yes, managed eventually",Satisfied,Grooming listings|Health/vaccination tracker,Rarely,Brand website,Unsure,Freemium,Yes considering,Neutral,Not interested,,Don't track,Never,No
R1428,60+,Tier-2,Gated apartment,1 dog,Indian Pariah,5+ years,,  nan  ,Boarding/walking,Occasionally,Lack of grooming services|No pet-friendly spaces|Cannot find dog trainer,Word of mouth,Not applicable,,Online marketplace,Sometimes,Amazon/Flipkart,Unsure,Freemium,Yes considering,Not Important,Passive,Very Important,Spreadsheet/notes app,Once a year or less,Maybe
R1429,35-44,tier-3,Non-gated apartment,1 dog,Mixed breed|Purebred,1-3 years,3250.0,2500-5000,Food & treats,Frequently,Hard to find reliable vet|Travel challenges with dog,Google Maps,"Yes, managed eventually",,Adoption/fostering network|Pet-friendly places,Sometimes,Local pet store,Yes when using app,Freemium,Yes considering,Somewhat Important,Not yet but would,Extremely Important,Rely on memory,Once a year or less,Yes
R1430,45-59,Tier-2,Non-gated apartment,1 dog,Mixed breed,1-3 years,12130.0,>10000,Vet & medicines,Frequently,No pet-friendly spaces,Word of mouth,No,Very Satisfied,Adoption/fostering network|Community/playdates,Sometimes,Don't buy online,Yes when using app,Free with ads,Yes considering,Somewhat Important,Not yet but would,Extremely Important,Spreadsheet/notes app,2-3 times a year,No
R1431,25-34,Tier-2,Non-gated apartment,1 dog,Indian Pariah,5+ years,2319.0,1000-2500,Grooming,Frequently,Hard to find reliable vet,Word of mouth,"Yes, very difficult",Very Satisfied,Community/playdates|Pet-friendly places,,Amazon/Flipkart,Yes always,Free with ads,No,Not at all,Not yet but would,Extremely Important,Don't track,2-3 times a year,Maybe
R1432,25-34,Rural,Independent house,1 dog,Adopted from shelter,3-5 years,4213.0,2500-5000,,Never,Difficulty adopting/fostering|No pet-friendly spaces,Word of mouth,No,Dissatisfied,Nearby vet directory|Online marketplace|Boarding/walking listings,Sometimes,Amazon/Flipkart,Yes always,Freemium,Yes considering,Somewhat Important,Not interested,Very Important,Dedicated pet app,Once a year or less,No
R1433,25-34,Tier-3,Non-gated apartment,1 dog,Rescued stray|Purebred,3-5 years,3721.0,2500-5000,Food & treats,Never,No pet-friendly spaces,Google Maps,"Yes, managed eventually",Very Dissatisfied,Community/playdates|Dog trainer directory|Nearby vet directory,Often,Local pet store,Yes when using app,One-time purchase,Maybe someday,Somewhat Important,Active,Very Important,Don't track,Once a year or less,Yes
R1434,35-44,Metro,Independent house,1 dog,Indian Pariah|Purebred,,3260.0,2500-5000,Boarding/walking,Occasionally,Hard to find reliable vet|Cannot find dog trainer,Word of mouth,Not applicable,Very Dissatisfied,Lost-and-found alerts|Adoption/fostering network,Often,Amazon/Flipkart,No,Would not pay,No,Somewhat Important,Not yet but would,Extremely Important,Don't track,2-3 times a year,Yes
R1435,18-24,Tier-2,Non-gated apartment,None,nan,Planning to adopt,236.0,<1000,nan,Very frequently,No pet-friendly spaces,Social media,No,Satisfied,Online marketplace|Adoption/fostering network|Health/vaccination tracker,Sometimes,Local pet store,No,Annual sub,No,Not Important,Active,Somewhat Important,Don't track,2-3 times a year,Yes
R1436,Under 18,Metro,Non-gated apartment,3+ dogs,Indian Pariah|Mixed breed,1-3 years,5345.0,  5000-10000  ,Grooming,Occasionally,Losing track of vaccinations|Hard to find boarding/walker|Lack of grooming services,Word of mouth,"Yes, very difficult",Very Satisfied,Online marketplace|Grooming listings,Often,Amazon/Flipkart,Yes always,Freemium,No,Somewhat Important,Passive,Very Important,Spreadsheet/notes app,Once a year or less,Yes
R1437,25-34,Metro,Gated apartment,1 dog,Adopted from shelter,3-5 years,3673.0,2500-5000,Accessories,Rarely,Travel challenges with dog|Hard to find reliable vet,Google Maps,"Yes, managed eventually",Neutral,Grooming listings,Often,Heads Up For Tails/Supertails,Yes when using app,Freemium,Maybe someday,Neutral,Passive,Extremely Important,Spreadsheet/notes app,2-3 times a year,Yes
R1438,35-44,tier-2,Rented,1 dog,Adopted from shelter,5+ years,,nan,,Rarely,No pet-friendly spaces|Hard to find reliable vet|Lack of grooming services,Word of mouth,No,Dissatisfied,Lost-and-found alerts|Dog-friendly travel guide|Grooming listings,Sometimes,Instagram/social,Yes when using app,Free with ads,Maybe someday,Very Important,Not yet but would,Extremely Important,Spreadsheet/notes app,2-3 times a year,Yes
R1439,18-24,Tier-3,Independent house,1 dog,Adopted from shelter|Rescued stray,3-5 years,3421.0,2500-5000,Food & treats,Occasionally,No pet-friendly spaces,Pet app,"Yes, very difficult",Dissatisfied,Lost-and-found alerts|Health/vaccination tracker|Adoption/fostering network,Sometimes,Local pet store,Unsure,Freemium,Yes considering,Neutral,Active,Extremely Important,Physical diary,Once a year or less,Maybe
R1440,35-44,Tier-3,Rented,1 dog,Indian Pariah,<1 year,3016.0,2500-5000,,Occasionally,No local dog owner community|Cannot find dog trainer|Genuine food/accessories hard to find|Hard ,Social media,No,Very Dissatisfied,Dog trainer directory|Online marketplace,Sometimes,Amazon/Flipkart,Unsure,Freemium,No,Not at all,,Very Important,Rely on memory,Once a year or less,Maybe
R1441,60+,Metro,Gated apartment,1 dog,Purebred,5+ years,4174.0,2500-5000,Grooming,Very frequently,Hard to find reliable vet|Hard to find boarding/walker,Word of mouth,No,Very Dissatisfied,Online marketplace,Sometimes,Local pet store,No,Freemium,Yes considering,Neutral,Not interested,Very Important,Physical diary,2-3 times a year,Yes
R1442,18-24,Tier-2,Gated apartment,None,nan,Planning to adopt,110.0,<1000,nan,Occasionally,Hard to find boarding/walker|Hard to find reliable vet,Social media,"Yes, managed eventually",Dissatisfied,Adoption/fostering network|Nearby vet directory|Lost-and-found alerts,,Heads Up For Tails/Supertails,Yes when using app,Freemium,No,Very Important,Active,,Don't track,Never,Yes
R1443,35-44,Metro,Independent house,1 dog,Adopted from shelter|Indian Pariah,1-3 years,2919.0,2500-5000,Food & treats,Occasionally,Hard to find boarding/walker|Cannot find dog trainer,Word of mouth,No,Neutral,Adoption/fostering network,Rarely,Don't buy online,Yes always,Monthly sub,Maybe someday,Neutral,Not yet but would,Extremely Important,Rely on memory,Once a year or less,Yes
R1444,25-34,Rural,Other,1 dog,Mixed breed,5+ years,4931.0,2500-5000,Vet & medicines,Occasionally,No local dog owner community|Genuine food/accessories hard to find|Lack of grooming services,,"Yes, very difficult",Neutral,Boarding/walking listings|Lost-and-found alerts,Never,Amazon/Flipkart,Yes when using app,Monthly sub,Yes considering,Neutral,Active,Extremely Important,Dedicated pet app,More than 3 times,Yes
R1445,45-59,Rural,Independent house,1 dog,Adopted from shelter|Purebred,1-3 years,4839.0,2500-5000,,Frequently,Travel challenges with dog|Losing track of vaccinations|Hard to find reliable vet,Google Maps,No,Dissatisfied,Dog trainer directory|Lost-and-found alerts|Pet-friendly places,Sometimes,Heads Up For Tails/Supertails,Yes when using app,,Yes considering,Somewhat Important,Not interested,Extremely Important,Rely on memory,2-3 times a year,No
R1446,18-24,Tier-2,Independent house,2 dogs,Indian Pariah|Mixed breed,5+ years,4484.0,2500-5000,Vet & medicines,Occasionally,Losing track of vaccinations|Hard to find reliable vet,Word of mouth,No,Dissatisfied,Pet-friendly places|Community/playdates,Rarely,Amazon/Flipkart,Yes when using app,Annual sub,Maybe someday,Not Important,Not yet but would,Extremely Important,Don't track,Once a year or less,Yes
R1447,35-44,Tier-3,Gated apartment,1 dog,Purebred,3-5 years,14580.0,>10000,Boarding/walking,rarely,No pet-friendly spaces,Google Maps,"Yes, very difficult",Dissatisfied,Boarding/walking listings|Lost-and-found alerts|Event calendar,,Local pet store,No,Freemium,No,Neutral,Not yet but would,Extremely Important,Spreadsheet/notes app,Once a year or less,Yes
R1448,45-59,Tier-2,Non-gated apartment,1 dog,Purebred|Adopted from shelter,5+ years,,nan,Vet & medicines,Rarely,Lack of grooming services|Losing track of vaccinations|Hard to find reliable vet,,"Yes, very difficult",Neutral,Lost-and-found alerts,Often,Amazon/Flipkart,Yes when using app,Freemium,Yes actively,Neutral,Not yet but would,Very Important,Spreadsheet/notes app,2-3 times a year,No
R1449,60+,Tier-2,Gated apartment,1 dog,Adopted from shelter,3-5 years,4167.0,2500-5000,Training,Frequently,Hard to find reliable vet,Social media,"Yes, managed eventually",Dissatisfied,Pet-friendly places|Health/vaccination tracker,Rarely,Instagram/social,Unsure,Free with ads,No,Neutral,Not interested,Very Important,Spreadsheet/notes app,Never,No
R1450,35-44,Metro,Independent house,None,nan,Planning to adopt,328.0,<1000,nan,Never,Hard to find reliable vet|Lack of grooming services,Social media,No,Dissatisfied,Event calendar,Rarely,Local pet store,Yes always,Free with ads,No,Very Important,Active,Very Important,Don't track,Never,Maybe
R1451,25-34,Tier-2,Gated apartment,1 dog,Indian Pariah,5+ years,5170.0,5000-10000,Food & treats,Rarely,Lack of grooming services,Social media,"Yes, very difficult",Dissatisfied,Online marketplace,Rarely,Instagram/social,Yes always,Free with ads,Maybe someday,Not at all,Active,Extremely Important,Physical diary,Once a year or less,Maybe
R1452,35-44,Tier-2,Gated apartment,1 dog,Purebred|Indian Pariah,5+ years,3965.0,2500-5000,Grooming,Rarely,Lack of grooming services|Hard to find reliable vet|Cannot find dog trainer,Pet app,"Yes, very difficult",Dissatisfied,Health/vaccination tracker|Online marketplace|Grooming listings,Sometimes,Local pet store,Yes always,Free with ads,Yes actively,Neutral,Not yet but would,Very Important,Rely on memory,Once a year or less,No
R1453,45-59,Tier-2,Gated apartment,1 dog,Purebred|Adopted from shelter,5+ years,3068.0,2500-5000,Vet & medicines,Very frequently,No pet-friendly spaces|Lack of grooming services|Travel challenges with dog,Social media,"Yes, very difficult",Neutral,Online marketplace|Nearby vet directory,,Amazon/Flipkart,Yes when using app,Freemium,No,Somewhat Important,Passive,Very Important,Dedicated pet app,Once a year or less,Maybe
R1454,35-44,Metro,Gated apartment,1 dog,Mixed breed|Adopted from shelter,,3348.0,2500-5000,Food & treats,Never,Cannot find dog trainer|Hard to find reliable vet|No local dog owner community,Google Maps,No,Dissatisfied,Community/playdates,Sometimes,Amazon/Flipkart,No,Would not pay,Maybe someday,Very Important,Not yet but would,Extremely Important,Rely on memory,Once a year or less,Maybe
R1455,18-24,Rural,Non-gated apartment,2 dogs,Rescued stray,5+ years,7503.0,5000-10000,Food & treats,Frequently,No pet-friendly spaces,Pet app,"Yes, very difficult",Very Dissatisfied,Dog-friendly travel guide,Never,Heads Up For Tails/Supertails,Yes always,Freemium,Maybe someday,Neutral,Passive,Very Important,Spreadsheet/notes app,Once a year or less,Maybe
R1456,60+,Metro,Gated apartment,3+ dogs,Adopted from shelter|Rescued stray,1-3 years,7446.0,5000-10000,Vet & medicines,Occasionally,Genuine food/accessories hard to find,Pet app,No,Dissatisfied,Grooming listings|Online marketplace,Sometimes,Don't buy online,Yes when using app,Annual sub,No,,Passive,Extremely Important,Don't track,Once a year or less,Yes
R1457,35-44,Tier-2,Gated apartment,1 dog,Indian Pariah|Adopted from shelter,<1 year,4195.0,2500-5000,Vet & medicines,Occasionally,Travel challenges with dog,Social media,"Yes, very difficult",Neutral,Lost-and-found alerts|Online marketplace,Sometimes,Brand website,No,Freemium,Maybe someday,Somewhat Important,Passive,Extremely Important,Spreadsheet/notes app,,Maybe
R1458,35-44,Tier-2,Gated apartment,1 dog,Purebred,<1 year,3676.0,2500-5000,,Frequently,Lack of grooming services|Cannot find dog trainer|Hard to find boarding/walker,No reliable way,No,Dissatisfied,Health/vaccination tracker,Rarely,Brand website,Yes always,Freemium,Yes considering,Neutral,Not interested,Somewhat Important,,2-3 times a year,Yes
R1459,25-34,Tier-2,,1 dog,Rescued stray|Mixed breed,5+ years,4209.0,2500-5000,Accessories,Occasionally,Difficulty adopting/fostering|Cannot find dog trainer,No reliable way,"Yes, managed eventually",Dissatisfied,Health/vaccination tracker,Often,Local pet store,Yes always,Free with ads,Yes actively,Neutral,,Extremely Important,Spreadsheet/notes app,Once a year or less,Yes
R1460,35-44,Tier-2,Other,1 dog,Indian Pariah,5+ years,5401.0,5000-10000,Food & treats,Occasionally,Hard to find reliable vet,Word of mouth,"Yes, managed eventually",Satisfied,Lost-and-found alerts|Event calendar,Sometimes,Amazon/Flipkart,Yes when using app,Free with ads,Maybe someday,Very Important,Not yet but would,,,2-3 times a year,Maybe
R1461,25-34,Metro,Rented,1 dog,Purebred,3-5 years,4782.0,2500-5000,Grooming,Rarely,Cannot find dog trainer|Hard to find reliable vet,Word of mouth,No,Neutral,Health/vaccination tracker|Adoption/fostering network|Community/playdates,Sometimes,Amazon/Flipkart,Yes always,Would not pay,Yes considering,Very Important,Not yet but would,Extremely Important,Spreadsheet/notes app,Never,No
R1462,35-44,Metro,Gated apartment,1 dog,Adopted from shelter|Rescued stray,5+ years,4186.0,2500-5000,Food & treats,Occasionally,Hard to find reliable vet,Google Maps,"Yes, managed eventually",Very Dissatisfied,Nearby vet directory|Lost-and-found alerts|Grooming listings,Often,Brand website,Yes when using app,Freemium,Yes considering,Very Important,Passive,Extremely Important,Don't track,Once a year or less,Yes
R1463,18-24,Tier-2,Independent house,3+ dogs,Mixed breed,5+ years,11509.0,>10000,Food & treats,Very frequently,Genuine food/accessories hard to find|Lack of grooming services|Travel challenges with dog,No reliable way,"Yes, very difficult",Dissatisfied,Adoption/fostering network|Community/playdates,Rarely,Amazon/Flipkart,Yes always,Free with ads,Maybe someday,Neutral,Not interested,Very Important,Dedicated pet app,2-3 times a year,Maybe
R1464,35-44,Tier-2,Gated apartment,1 dog,Adopted from shelter|Mixed breed,3-5 years,43310.0,>10000,Food & treats,Very frequently,Hard to find reliable vet|No pet-friendly spaces,Word of mouth,Not applicable,Dissatisfied,Boarding/walking listings,Often,Amazon/Flipkart,Unsure,Monthly sub,Maybe someday,Neutral,Passive,Very Important,Physical diary,Once a year or less,Yes
R1465,60+,Metro,,1 dog,Rescued stray,1-3 years,,nan,Vet & medicines,Frequently,Genuine food/accessories hard to find|Hard to find boarding/walker,Social media,"Yes, managed eventually",Satisfied,Lost-and-found alerts,Rarely,Local pet store,Yes when using app,Freemium,No,Neutral,Not interested,Very Important,Rely on memory,Once a year or less,No
R1466,18-24,Tier-2,Gated apartment,1 dog,Adopted from shelter,5+ years,,nan,Food & treats,Very frequently,No local dog owner community|Cannot find dog trainer,Pet app,"Yes, very difficult",Neutral,Dog trainer directory|Community/playdates|Boarding/walking listings,Rarely,Amazon/Flipkart,Yes when using app,Annual sub,Yes considering,Neutral,Not yet but would,Very Important,Rely on memory,2-3 times a year,Maybe
R1467,60+,Tier-2,Rented,2 dogs,Adopted from shelter,1-3 years,5999.0,5000-10000,Food & treats,Very frequently,Travel challenges with dog|Hard to find reliable vet,No reliable way,"Yes, very difficult",Very Dissatisfied,Pet-friendly places|Dog-friendly travel guide,Sometimes,Local pet store,Yes when using app,Free with ads,No,Very Important,Active,Somewhat Important,Spreadsheet/notes app,Never,Yes
R1468,25-34,Tier-2,Rented,1 dog,Indian Pariah|Adopted from shelter,3-5 years,3875.0,2500-5000,Food & treats,Frequently,No pet-friendly spaces|No local dog owner community|Hard to find reliable vet,Google Maps,Not applicable,Neutral,Online marketplace|Health/vaccination tracker,Never,Amazon/Flipkart,No,Freemium,Maybe someday,Very Important,Not yet but would,Very Important,Rely on memory,Once a year or less,Maybe
R1469,45-59,Tier-3,Rented,1 dog,Rescued stray,1-3 years,,nan,Food & treats,Occasionally,Hard to find reliable vet|Lack of grooming services|No pet-friendly spaces,Google Maps,"Yes, very difficult",Neutral,Adoption/fostering network|Dog trainer directory,Sometimes,Amazon/Flipkart,No,Annual sub,No,Neutral,Not yet but would,Somewhat Important,Spreadsheet/notes app,Once a year or less,Yes
R1470,45-59,Metro,Gated apartment,1 dog,Rescued stray|Purebred,1-3 years,2062.0,1000-2500,Boarding/walking,Occasionally,Losing track of vaccinations|Travel challenges with dog|Difficulty adopting/fostering|Genuine fo,Word of mouth,"Yes, managed eventually",Satisfied,Lost-and-found alerts,Rarely,Amazon/Flipkart,Yes always,One-time purchase,No,Neutral,,Extremely Important,Physical diary,Once a year or less,Maybe
R1471,35-44,Metro,Non-gated apartment,2 dogs,Purebred|Mixed breed,3-5 years,7533.0,5000-10000,Online marketplace,Very frequently,Difficulty adopting/fostering|Losing track of vaccinations|Cannot find dog trainer|Lack of groom,No reliable way,"Yes, very difficult",Satisfied,Boarding/walking listings|Nearby vet directory,,Local pet store,,Freemium,Yes considering,Somewhat Important,Passive,Somewhat Important,,Once a year or less,Yes
R1472,35-44,Tier-3,Gated apartment,None,Purebred,Planning to adopt,,nan,nan,Frequently,Travel challenges with dog,No reliable way,No,Dissatisfied,Adoption/fostering network|Online marketplace,Often,Heads Up For Tails/Supertails,Yes when using app,Annual sub,Maybe someday,Very Important,Not yet but would,Very Important,,Once a year or less,Maybe
R1473,45-59,Tier-2,Independent house,2 dogs,Rescued stray,5+ years,6733.0,5000-10000,Vet & medicines,Frequently,Hard to find reliable vet|Travel challenges with dog|No local dog owner community,Social media,No,Dissatisfied,Health/vaccination tracker|Dog trainer directory|Boarding/walking listings,Never,Amazon/Flipkart,,Would not pay,No,Somewhat Important,Not interested,Somewhat Important,Dedicated pet app,Never,No
R1474,25-34,tier-2,Non-gated apartment,1 dog,Mixed breed|Purebred,3-5 years,4622.0,2500-5000,Grooming,Never,Losing track of vaccinations,No reliable way,No,Dissatisfied,Adoption/fostering network|Grooming listings|Pet-friendly places,Sometimes,Amazon/Flipkart,Unsure,Monthly sub,Maybe someday,Somewhat Important,Not yet but would,Very Important,Rely on memory,2-3 times a year,Maybe
R1475,25-34,tier-3,Independent house,1 dog,Rescued stray|Adopted from shelter,5+ years,3139.0,2500-5000,Grooming,Rarely,Hard to find reliable vet,Word of mouth,Not applicable,Dissatisfied,Nearby vet directory,Sometimes,Don't buy online,Yes when using app,Annual sub,Maybe someday,,Not interested,Extremely Important,Physical diary,,Maybe
R1476,35-44,Tier-3,Gated apartment,1 dog,Purebred|Mixed breed,5+ years,2261.0,1000-2500,Grooming,Rarely,Hard to find reliable vet|Difficulty adopting/fostering|Hard to find boarding/walker,Google Maps,No,Dissatisfied,Health/vaccination tracker,Rarely,Local pet store,Yes when using app,Freemium,Yes considering,Not Important,Passive,Somewhat Important,Dedicated pet app,More than 3 times,Yes
R1477,45-59,Rural,Gated apartment,1 dog,Purebred,5+ years,2590.0,2500-5000,Food & treats,Rarely,Losing track of vaccinations|Hard to find boarding/walker,Word of mouth,Not applicable,Satisfied,Health/vaccination tracker|Grooming listings|Nearby vet directory,Never,Local pet store,No,Annual sub,Yes actively,Somewhat Important,,Extremely Important,Rely on memory,Never,Maybe
R1478,35-44,Tier-2,Non-gated apartment,None,nan,<1 year,205.0,<1000,Food & treats,Very frequently,No pet-friendly spaces|Lack of grooming services|Travel challenges with dog,Social media,No,Very Dissatisfied,Health/vaccination tracker|Grooming listings,Sometimes,Heads Up For Tails/Supertails,Unsure,Would not pay,No,Somewhat Important,Not interested,Very Important,Dedicated pet app,Never,Yes
R1479,45-59,Tier-2,Non-gated apartment,2 dogs,Adopted from shelter,,6661.0,5000-10000,Food & treats,Rarely,Difficulty adopting/fostering,Word of mouth,"Yes, managed eventually",,Boarding/walking listings,Never,Heads Up For Tails/Supertails,Yes when using app,Annual sub,Maybe someday,Somewhat Important,Not yet but would,Extremely Important,Don't track,Once a year or less,Yes
R1480,25-34,Metro,Gated apartment,1 dog,Indian Pariah|Adopted from shelter,<1 year,,nan,Food & treats,Occasionally,Travel challenges with dog|Hard to find reliable vet|Hard to find boarding/walker,Word of mouth,"Yes, very difficult",Satisfied,Health/vaccination tracker,Rarely,Local pet store,No,Free with ads,Yes considering,Very Important,Active,Somewhat Important,Rely on memory,2-3 times a year,Maybe
R1481,45-59,Metro,Rented,1 dog,Rescued stray|Adopted from shelter,<1 year,2713.0,2500-5000,Food & treats,Never,Losing track of vaccinations,Pet app,No,Satisfied,Health/vaccination tracker|Online marketplace|Dog-friendly travel guide,Often,Brand website,No,Free with ads,Yes actively,Somewhat Important,Not interested,Very Important,Don't track,Once a year or less,Yes
R1482,18-24,Tier-2,Gated apartment,1 dog,Adopted from shelter|Mixed breed,5+ years,4134.0,2500-5000,Accessories,Rarely,Hard to find reliable vet,Social media,"Yes, managed eventually",Dissatisfied,Event calendar|Adoption/fostering network,Rarely,Amazon/Flipkart,No,Annual sub,Maybe someday,Neutral,Not yet but would,Not Important,Physical diary,2-3 times a year,No
R1483,25-34,Metro,Gated apartment,1 dog,Mixed breed,5+ years,4157.0,2500-5000,Grooming,Rarely,Difficulty adopting/fostering|Hard to find reliable vet|Hard to find boarding/walker,No reliable way,No,Neutral,Nearby vet directory|Event calendar|Health/vaccination tracker,Often,Brand website,,Free with ads,No,Neutral,Active,Extremely Important,Don't track,,Yes
